filepath,collection,object_name,mark_type,year_range,year_start,image_type,image_index,group_id,cloudinary_ref
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_dateletter_1732-33.jpg","Church plate on loan to V&A","Loan Linford 1","date letter","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-1-date-letter-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-date-letter-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_hallmark_1732-33.jpg","Church plate on loan to V&A","Loan Linford 1","hallmark","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_hallmark_1732-33_dimensions.jpg","Church plate on loan to V&A","Loan Linford 1","hallmark","1732-33","1732","dimensions","2","church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_hallmark_lid_1732-33.jpg","Church plate on loan to V&A","Loan Linford 1","hallmark","1732-33","1732","primary","1","church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_hallmark_lid_1732-33_dimensions.jpg","Church plate on loan to V&A","Loan Linford 1","hallmark","1732-33","1732","dimensions","3","church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-hallmark-1732-3"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford 1_sterling mark_1732-33.jpg","Church plate on loan to V&A","Loan Linford 1","sterling mark","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-1-sterling-mark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-1-sterling-mark-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_date letter_base_1732-33.jpg","Church plate on loan to V&A","Loan Linford","date letter","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-date-letter-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-date-letter-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_date letter_base_1732-33_dimensions.jpg","Church plate on loan to V&A","Loan Linford","date letter","1732-33","1732","dimensions","1","church-plate-on-loan-to-v-a-loan-linford-date-letter-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-date-letter-1732-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_hallmark_base_1732-33.jpg","Church plate on loan to V&A","Loan Linford","hallmark","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-hallmark-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_hallmark_base_1732-33_dimensions.jpg","Church plate on loan to V&A","Loan Linford","hallmark","1732-33","1732","dimensions","3","church-plate-on-loan-to-v-a-loan-linford-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-hallmark-1732-3"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_hallmark_lid_1732-33.jpg","Church plate on loan to V&A","Loan Linford","hallmark","1732-33","1732","primary","1","church-plate-on-loan-to-v-a-loan-linford-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-hallmark-1732-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_hallmark_lid_1732-33_image 1.jpg","Church plate on loan to V&A","Loan Linford","hallmark","1732-33","1732","primary","2","church-plate-on-loan-to-v-a-loan-linford-hallmark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-hallmark-1732-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_sponsor mark_base_1732-33.jpg","Church plate on loan to V&A","Loan Linford","sponsor mark","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_sponsor mark_base_detail_1.jpg","Church plate on loan to V&A","Loan Linford","sponsor mark","","","primary","1","church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-unknown-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_sponsor mark_base_detail_2.jpg","Church plate on loan to V&A","Loan Linford","sponsor mark","","","primary","2","church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-linford-sponsor-mark-unknown-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Linford_sterling mark_base_1732-33.jpg","Church plate on loan to V&A","Loan Linford","sterling mark","1732-33","1732","primary","0","church-plate-on-loan-to-v-a-loan-linford-sterling-mark-1732","hallmarks/church-plate-on-loan-to-v-a-loan-linford-sterling-mark-1732-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_communion cup_Britannia mark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull communion cup","britannia mark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-communion-cup-britannia-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-communion-cup-britannia-mark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_communion cup_date letter 1724-25.jpg","Church plate on loan to V&A","Loan Patshull communion cup","date letter","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-communion-cup-date-letter-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-communion-cup-date-letter-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_communion cup_hallmark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull communion cup","hallmark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-communion-cup-hallmark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-communion-cup-hallmark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_communion cup_hallmark 1724-25_dimensions.jpg","Church plate on loan to V&A","Loan Patshull communion cup","hallmark","1724-25","1724","dimensions","1","church-plate-on-loan-to-v-a-loan-patshull-communion-cup-hallmark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-communion-cup-hallmark-1724-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_Britannia standard mark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon","britannia standard mark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-britannia-standard-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-britannia-standard-mark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_base_sponsor mark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon base","sponsor mark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-base-sponsor-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-base-sponsor-mark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_base_sponsor mark 1724-25_dimensions.jpg","Church plate on loan to V&A","Loan Patshull flagon base","sponsor mark","1724-25","1724","dimensions","1","church-plate-on-loan-to-v-a-loan-patshull-flagon-base-sponsor-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-base-sponsor-mark-1724-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_date letter 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon","date letter","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-date-letter-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-date-letter-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_date letter 1724-25_dimensions.jpg","Church plate on loan to V&A","Loan Patshull flagon","date letter","1724-25","1724","dimensions","1","church-plate-on-loan-to-v-a-loan-patshull-flagon-date-letter-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-date-letter-1724-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_hallmark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon","hallmark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-hallmark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-hallmark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_hallmark 1724-25_dimensions.jpg","Church plate on loan to V&A","Loan Patshull flagon","hallmark","1724-25","1724","dimensions","1","church-plate-on-loan-to-v-a-loan-patshull-flagon-hallmark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-hallmark-1724-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_lid_Britannia standard mark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon lid","britannia standard mark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-britannia-standard-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-britannia-standard-mark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_lid_sponsor mark 1724-25.jpg","Church plate on loan to V&A","Loan Patshull flagon lid","sponsor mark","1724-25","1724","primary","0","church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-sponsor-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-sponsor-mark-1724-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan Patshull_flagon_lid_sponsor mark 1724-25_dimensions.jpg","Church plate on loan to V&A","Loan Patshull flagon lid","sponsor mark","1724-25","1724","dimensions","1","church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-sponsor-mark-1724","hallmarks/church-plate-on-loan-to-v-a-loan-patshull-flagon-lid-sponsor-mark-1724-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Aldermary 2_date letter 1622-23 dimensions.jpg","Church plate on loan to V&A","Loan St Mary Aldermary 2","date letter","1622-23","1622","dimensions","1","church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-date-letter-1622","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-date-letter-1622-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Aldermary 2_date letter 1622-23.jpg","Church plate on loan to V&A","Loan St Mary Aldermary 2","date letter","1622-23","1622","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-date-letter-1622","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-date-letter-1622-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Aldermary 2_hallmark 1622-23.jpg","Church plate on loan to V&A","Loan St Mary Aldermary 2","hallmark","1622-23","1622","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-hallmark-1622","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-hallmark-1622-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Aldermary 2_hallmark 1622-23_dimensions.jpg","Church plate on loan to V&A","Loan St Mary Aldermary 2","hallmark","1622-23","1622","dimensions","1","church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-hallmark-1622","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-aldermary-2-hallmark-1622-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 3_Britannia Standard_1718_19.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 3","britannia standard mark","1718-19","1718","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-britannia-standard-mark-1718","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-britannia-standard-mark-1718-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 3_date letter_1718_19.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 3","date letter","1718-19","1718","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-date-letter-1718","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-date-letter-1718-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 3_date letter_1718_19_dimensions.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 3","date letter","1718-19","1718","dimensions","1","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-date-letter-1718","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-date-letter-1718-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 3_hallmark_1718_19.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 3","hallmark","1718-19","1718","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-hallmark-1718","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-hallmark-1718-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 3_hallmark_1718_19_dimensions.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 3","hallmark","1718-19","1718","dimensions","1","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-hallmark-1718","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-3-hallmark-1718-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 6_hallmark 1735.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 6","hallmark","1735","1735","primary","0","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-6-hallmark-1735","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-6-hallmark-1735-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Mary Lewisham 6_hallmark 1735_dimension.jpg","Church plate on loan to V&A","Loan St Mary Lewisham 6","hallmark","1735","1735","dimensions","1","church-plate-on-loan-to-v-a-loan-st-mary-lewisham-6-hallmark-1735","hallmarks/church-plate-on-loan-to-v-a-loan-st-mary-lewisham-6-hallmark-1735-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Peter Petersham 1 date letter.jpg","Church plate on loan to V&A","Loan St Peter Petersham 1","date letter","","","primary","0","church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-date-letter-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-date-letter-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Peter Petersham 1 date letter_dimension.jpg","Church plate on loan to V&A","Loan St Peter Petersham 1","date letter","","","dimensions","1","church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-date-letter-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-date-letter-unknown-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Peter Petersham_1_hallmark 1640-41 dimensions.jpg","Church plate on loan to V&A","Loan St Peter Petersham 1","hallmark","1640-41","1640","dimensions","1","church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-hallmark-1640","hallmarks/church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-hallmark-1640-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan St Peter Petersham_1_hallmark 1640-41.jpg","Church plate on loan to V&A","Loan St Peter Petersham 1","hallmark","1640-41","1640","primary","0","church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-hallmark-1640","hallmarks/church-plate-on-loan-to-v-a-loan-st-peter-petersham-1-hallmark-1640-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_Britannia standard mark.jpg","Church plate on loan to V&A","Loan West Drayton 3","britannia standard mark","","","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-3-britannia-standard-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-britannia-standard-mark-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_Hallmark 1727_28.jpg","Church plate on loan to V&A","Loan West Drayton 3","hallmark","1727-28","1727","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-3-hallmark-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-hallmark-1727-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_Hallmark 1727_28_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 3","hallmark","1727-28","1727","dimensions","1","church-plate-on-loan-to-v-a-loan-west-drayton-3-hallmark-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-hallmark-1727-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_date letter 12_28_lid_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 3","date letter","","","dimensions","0","church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_date letter 1727_28.jpg","Church plate on loan to V&A","Loan West Drayton 3","date letter","1727-28","1727","primary","1","church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_date letter 1727_28_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 3","date letter","1727-28","1727","dimensions","2","church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_date letter 1727_28_lid.jpg","Church plate on loan to V&A","Loan West Drayton 3","date letter","1727-28","1727","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-date-letter-1727-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_sponsor mark Paul de Lamerie on handle.jpg","Church plate on loan to V&A","Loan West Drayton 3","sponsor mark","","","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_sponsor mark Paul de Lamerie on handle_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 3","sponsor mark","","","dimensions","2","church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown-2"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_sponsor mark Paul de Lamerie.jpg","Church plate on loan to V&A","Loan West Drayton 3","sponsor mark","","","primary","1","church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown-1"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 3_sponsor mark Paul de Lamerie_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 3","sponsor mark","","","dimensions","3","church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-3-sponsor-mark-unknown-3"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 4_Britannia Standard mark.jpg","Church plate on loan to V&A","Loan West Drayton 4","britannia standard mark","","","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-4-britannia-standard-mark-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-4-britannia-standard-mark-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 4_date letter 11727_28_dimensions.jpg","Church plate on loan to V&A","Loan West Drayton 4","date letter","","","dimensions","0","church-plate-on-loan-to-v-a-loan-west-drayton-4-date-letter-unknown","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-4-date-letter-unknown-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 4_date letter 1727_28.jpg","Church plate on loan to V&A","Loan West Drayton 4","date letter","1727-28","1727","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-4-date-letter-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-4-date-letter-1727-0"
"/mnt/c/Users/Assay Surface/Desktop/Kirstin Kennedy/Church plate on loan to V&A/Loan West Drayton 4_hallmark 1727_28.jpg","Church plate on loan to V&A","Loan West Drayton 4","hallmark","1727-28","1727","primary","0","church-plate-on-loan-to-v-a-loan-west-drayton-4-hallmark-1727","hallmarks/church-plate-on-loan-to-v-a-loan-west-drayton-4-hallmark-1727-0"
